section,subsection,municipality,state,legal_basis
"Seção Judiciária do Pará","Castanhal","Peixe-Boi",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","Primavera",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","Quatipuru",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","Salinópolis",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","Santa Maria do Pará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","Santarém Novo",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","São Domingos do Capim",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","São Francisco do Pará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","São João da Ponta",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","São João de Pirabas",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","Terra Alta",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","Tracuateua",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Castanhal","Viseu",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Itaituba","Itaituba",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Itaituba","Aveiro",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Itaituba","Castelo de Sonhos",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Itaituba","Jacareacanga",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Itaituba","Novo Progresso",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Itaituba","Trairão",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Marabá",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Abel Figueiredo",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Bom Jesus do Tocantins",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Brejo Grande do Araguaia",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Canaã dos Carajás",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Curionópolis",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
